"age","uk","england","wales","scotland","northern_ireland","east_of_england","london","midlands","north_east_and_yorkshire","north_west","south_east","south_west"
"0",0.0577462183184894,0.0586216939301449,0.0525050279443011,0.0497345926454707,0.0635639740250002,0.0593921317050525,0.0676193644067182,0.0580717923816698,0.055945909915024,0.0589428856438344,0.0563316806841215,0.0517478424340193
"5",0.0621265025437518,0.0628601355827329,0.0582908509968191,0.0547866673988249,0.0678820510681128,0.0643441818847657,0.0672832782990472,0.0627054058446443,0.06077347231506,0.0625703471203776,0.0627633576032822,0.0580957870858235
"10",0.0591924401416373,0.0595918831005994,0.0573504406607421,0.0539369977852214,0.065548483445083,0.0608021457454595,0.0599872416714638,0.0601274661081241,0.0585204936329293,0.0598285442061729,0.0607983852251699,0.0559848371032801
"15",0.0547476468448559,0.054901382933074,0.0546741565407363,0.0516094668057767,0.0593541525516366,0.0534923119313746,0.0521761408098135,0.0571334679698699,0.0556905552841613,0.0554311234070466,0.055718497814356,0.0535087728644812
"20",0.062174828206983,0.0619657366117172,0.0641959301324282,0.0635981915691981,0.0609183135155231,0.0535641451472068,0.0630916864548707,0.0656610145543096,0.0660607195421609,0.0642093960811237,0.0584421940842913,0.0594551983852573
"25",0.0675818082142759,0.0675362274399572,0.0660539145333519,0.0699677850383468,0.0645968905831912,0.0594088264183269,0.0859195430835722,0.0673715607151451,0.0674953313804574,0.068830143319778,0.0594201847977626,0.0592765481217393
"30",0.0673255534504816,0.0676525065902918,0.061199303874332,0.0676263430527337,0.066939435497371,0.0637889677965107,0.0935181911069072,0.0638146433881472,0.0634771862081534,0.0664511573605959,0.0595971941489138,0.0588064812752859
"35",0.0658065437169774,0.0663322718737649,0.0586511566095622,0.0645254699540571,0.0657892860782809,0.0653772629951878,0.0872038561975472,0.0620472205063311,0.0611750427518512,0.0634065821396627,0.0633411386028174,0.0585646108389921
"40",0.0601756158793638,0.0606587554087349,0.0537781500653847,0.0584686910841433,0.061390941490769,0.0621231723692387,0.0737595192317241,0.0569560465566616,0.0554032377386482,0.0569349302943944,0.0622349144482899,0.0552910134655416
"45",0.0659031800726643,0.0660155022403857,0.0631397525880315,0.066161111416177,0.0664213929904255,0.0673685287500576,0.0665716059236404,0.0653746501680787,0.0644642010125619,0.0649355964501151,0.0684331637977103,0.0646724609020524
"50",0.0697790090475433,0.0694203582957694,0.0699297372338108,0.0734153350539051,0.0696975761841971,0.0710880802350983,0.0632691024280436,0.0697883969036804,0.0698531484226418,0.0697727310062067,0.0721736242580358,0.0711299753476843
"55",0.0659598594286101,0.0652131672200245,0.0689782259325524,0.0719570589204327,0.0658267794707306,0.0663201313889251,0.0552854952176353,0.0654972699645544,0.0680378873280526,0.0668558922776351,0.0673668369889979,0.0694159272925393
"60",0.0562180314996194,0.0552851840766461,0.061167269660523,0.0630924532791536,0.0558725478133167,0.0565263080346141,0.0436369649639159,0.0556127938477309,0.059606302900803,0.0566364064297622,0.0566419808863617,0.0613271192875868
"65",0.0504245509819055,0.0496871735533919,0.057770057144597,0.0548100964618454,0.0474597698539395,0.0517588186759622,0.0349170256736535,0.0514452299342843,0.0534958072210849,0.0508942120924257,0.0507344764203877,0.0584944648607718
"70",0.0496860126862052,0.0493777946192547,0.0568642183857991,0.0510416781066388,0.0429848542536782,0.0532740553587502,0.0305229118223644,0.0509401306957249,0.0525236697005865,0.050213328439128,0.0529592872873008,0.0604130905536631
"75",0.0348114843273871,0.034478429204945,0.040212453443345,0.0358667838119818,0.0326741713300174,0.036530789569572,0.0215699885371428,0.0364808986182352,0.0358232211388538,0.035077262167963,0.0369333663750789,0.0421879223187455
"80",0.0256797903528532,0.0255816440329759,0.0284720726675524,0.0261393297091501,0.0226222456218543,0.0274410542604219,0.0168284071761302,0.0262674241551755,0.027093277431939,0.0256215045942653,0.0275882841163047,0.030535165865937
"85",0.0156008954140577,0.0156302273984911,0.0170885086297317,0.0152708070213973,0.0132045391296358,0.0171924914225167,0.0104286001690027,0.0157093880640192,0.0159191586988932,0.0149543745641806,0.0175435934696474,0.0193309885042285
"90",0.00906002887233816,0.00918992588709843,0.00967877295639953,0.00799114088554537,0.00725259509723726,0.0102065963109585,0.00641107682680708,0.00899519962361382,0.0086413773761376,0.00843358240533196,0.0109778389911703,0.0117617934923711
