"region","name","initial","min","max","discrete","include"
"east_of_england","alpha_D",0.180407510384316,0,1,FALSE,TRUE
"london","alpha_D",0.124131483788892,0,1,FALSE,TRUE
"midlands","alpha_D",0.233407948035152,0,1,FALSE,TRUE
"north_east_and_yorkshire","alpha_D",0.171320591252245,0,1,FALSE,TRUE
"north_west","alpha_D",0.152191754879235,0,1,FALSE,TRUE
"south_east","alpha_D",0.403418659061646,0,1,FALSE,TRUE
"south_west","alpha_D",0.292096716915269,0,1,FALSE,TRUE
"east_of_england","alpha_H",0.0179836908249506,0,1,FALSE,TRUE
"london","alpha_H",0.0286110981593505,0,1,FALSE,TRUE
"midlands","alpha_H",0.0144944702467251,0,1,FALSE,TRUE
"north_east_and_yorkshire","alpha_H",0.0200133977388654,0,1,FALSE,TRUE
"north_west","alpha_H",0.015825628748545,0,1,FALSE,TRUE
"south_east","alpha_H",0.0144961467540369,0,1,FALSE,TRUE
"south_west","alpha_H",0.00532925372856852,0,1,FALSE,TRUE
"east_of_england","beta1",0.125851179759491,0,1,FALSE,TRUE
"london","beta1",0.104526828515009,0,1,FALSE,TRUE
"midlands","beta1",0.112153933238101,0,1,FALSE,TRUE
"north_east_and_yorkshire","beta1",0.118962853687264,0,1,FALSE,TRUE
"north_west","beta1",0.119065340076585,0,1,FALSE,TRUE
"south_east","beta1",0.0913408123637867,0,1,FALSE,TRUE
"south_west","beta1",0.0960309258255284,0,1,FALSE,TRUE
"east_of_england","beta10",0.0520271661104775,0,1,FALSE,TRUE
"london","beta10",0.0667415615984672,0,1,FALSE,TRUE
"midlands","beta10",0.0573462593930429,0,1,FALSE,TRUE
"north_east_and_yorkshire","beta10",0.0541847198544805,0,1,FALSE,TRUE
"north_west","beta10",0.0490137533668184,0,1,FALSE,TRUE
"south_east","beta10",0.0548799909535606,0,1,FALSE,TRUE
"south_west","beta10",0.0638529639300829,0,1,FALSE,TRUE
"east_of_england","beta11",0.0484024674058436,0,1,FALSE,TRUE
"london","beta11",0.0432884422368725,0,1,FALSE,TRUE
"midlands","beta11",0.0465739294783404,0,1,FALSE,TRUE
"north_east_and_yorkshire","beta11",0.0382825878994434,0,1,FALSE,TRUE
"north_west","beta11",0.0382547779103954,0,1,FALSE,TRUE
"south_east","beta11",0.0476570643012684,0,1,FALSE,TRUE
"south_west","beta11",0.0497872484287977,0,1,FALSE,TRUE
"east_of_england","beta12",0.0410208172490715,0,1,FALSE,TRUE
"london","beta12",0.048180957061083,0,1,FALSE,TRUE
"midlands","beta12",0.034816463554467,0,1,FALSE,TRUE
"north_east_and_yorkshire","beta12",0.0352002271228076,0,1,FALSE,TRUE
"north_west","beta12",0.0354252084190108,0,1,FALSE,TRUE
"south_east","beta12",0.0404928135204119,0,1,FALSE,TRUE
"south_west","beta12",0.0333160758169241,0,1,FALSE,TRUE
"east_of_england","beta2",0.0632463325674199,0,1,FALSE,TRUE
"london","beta2",0.0209958166046987,0,1,FALSE,TRUE
"midlands","beta2",0.0225766640368103,0,1,FALSE,TRUE
"north_east_and_yorkshire","beta2",0.0969931214007445,0,1,FALSE,TRUE
"north_west","beta2",0.106383405924706,0,1,FALSE,TRUE
"south_east","beta2",0.0620276973600645,0,1,FALSE,TRUE
"south_west","beta2",0.0682845791054485,0,1,FALSE,TRUE
"east_of_england","beta3",0.0276991264954925,0,1,FALSE,TRUE
"london","beta3",0.0236900415951178,0,1,FALSE,TRUE
"midlands","beta3",0.0232476946569207,0,1,FALSE,TRUE
"north_east_and_yorkshire","beta3",0.0252129083746091,0,1,FALSE,TRUE
"north_west","beta3",0.0230334723544432,0,1,FALSE,TRUE
"south_east","beta3",0.0273704942616116,0,1,FALSE,TRUE
"south_west","beta3",0.0296063529452343,0,1,FALSE,TRUE
"east_of_england","beta4",0.0296223715239707,0,1,FALSE,TRUE
"london","beta4",0.0336217852835242,0,1,FALSE,TRUE
"midlands","beta4",0.0332543804637843,0,1,FALSE,TRUE
"north_east_and_yorkshire","beta4",0.0309894212294728,0,1,FALSE,TRUE
"north_west","beta4",0.0314014237505993,0,1,FALSE,TRUE
"south_east","beta4",0.0199178208201413,0,1,FALSE,TRUE
"south_west","beta4",0.0290864867217362,0,1,FALSE,TRUE
"east_of_england","beta5",0.0324191268841941,0,1,FALSE,TRUE
"london","beta5",0.0408722653010399,0,1,FALSE,TRUE
"midlands","beta5",0.0291179240628766,0,1,FALSE,TRUE
"north_east_and_yorkshire","beta5",0.0280988430512661,0,1,FALSE,TRUE
"north_west","beta5",0.0320321269348787,0,1,FALSE,TRUE
"south_east","beta5",0.0275509391771381,0,1,FALSE,TRUE
"south_west","beta5",0.0228551137187317,0,1,FALSE,TRUE
"east_of_england","beta6",0.0294662419710381,0,1,FALSE,TRUE
"london","beta6",0.0321096758582181,0,1,FALSE,TRUE
"midlands","beta6",0.0263984204093895,0,1,FALSE,TRUE
"north_east_and_yorkshire","beta6",0.0325992029284224,0,1,FALSE,TRUE
"north_west","beta6",0.0316709539374875,0,1,FALSE,TRUE
"south_east","beta6",0.0305835542506453,0,1,FALSE,TRUE
"south_west","beta6",0.0424391074478977,0,1,FALSE,TRUE
"east_of_england","beta7",0.0314685924075791,0,1,FALSE,TRUE
"london","beta7",0.0458286184089994,0,1,FALSE,TRUE
"midlands","beta7",0.031857552846709,0,1,FALSE,TRUE
"north_east_and_yorkshire","beta7",0.0305706386915095,0,1,FALSE,TRUE
"north_west","beta7",0.0372504958661289,0,1,FALSE,TRUE
"south_east","beta7",0.031460492242638,0,1,FALSE,TRUE
"south_west","beta7",0.0351296475984373,0,1,FALSE,TRUE
"east_of_england","beta8",0.0491790083362684,0,1,FALSE,TRUE
"london","beta8",0.067005199501653,0,1,FALSE,TRUE
"midlands","beta8",0.0679424390562031,0,1,FALSE,TRUE
"north_east_and_yorkshire","beta8",0.0672941724887721,0,1,FALSE,TRUE
"north_west","beta8",0.0676936757059071,0,1,FALSE,TRUE
"south_east","beta8",0.0511229823283944,0,1,FALSE,TRUE
"south_west","beta8",0.0475407182738129,0,1,FALSE,TRUE
"east_of_england","beta9",0.0611990581114884,0,1,FALSE,TRUE
"london","beta9",0.0505522300476755,0,1,FALSE,TRUE
"midlands","beta9",0.0478726411384348,0,1,FALSE,TRUE
"north_east_and_yorkshire","beta9",0.0556111308987252,0,1,FALSE,TRUE
"north_west","beta9",0.0603655671281915,0,1,FALSE,TRUE
"south_east","beta9",0.0529683131788864,0,1,FALSE,TRUE
"south_west","beta9",0.0489206101092847,0,1,FALSE,TRUE
"east_of_england","eps",0.123595846794981,0,1,FALSE,TRUE
"london","eps",0.570464185903111,0,1,FALSE,TRUE
"midlands","eps",0.987113531274455,0,1,FALSE,TRUE
"north_east_and_yorkshire","eps",0.863101264394021,0,1,FALSE,TRUE
"north_west","eps",0.544920396618433,0,1,FALSE,TRUE
"south_east","eps",0.384028478248298,0,1,FALSE,TRUE
"south_west","eps",0.112490644434659,0,1,FALSE,TRUE
"east_of_england","m_CHR",3.0901453490899e-06,0,1,FALSE,TRUE
"london","m_CHR",3.68341624718799e-06,0,1,FALSE,TRUE
"midlands","m_CHR",5.55478295257528e-07,0,1,FALSE,TRUE
"north_east_and_yorkshire","m_CHR",3.26230380168702e-06,0,1,FALSE,TRUE
"north_west","m_CHR",7.11798317090815e-07,0,1,FALSE,TRUE
"south_east","m_CHR",9.11900853085786e-07,0,1,FALSE,TRUE
"south_west","m_CHR",2.23990675155309e-06,0,1,FALSE,TRUE
"east_of_england","m_CHW",5.55761718352894e-06,0,1,FALSE,TRUE
"london","m_CHW",9.08194342414018e-06,0,1,FALSE,TRUE
"midlands","m_CHW",3.61752518866593e-06,0,1,FALSE,TRUE
"north_east_and_yorkshire","m_CHW",3.25975801003158e-06,0,1,FALSE,TRUE
"north_west","m_CHW",5.7612620619714e-06,0,1,FALSE,TRUE
"south_east","m_CHW",4.43837347218427e-06,0,1,FALSE,TRUE
"south_west","m_CHW",3.69257902639975e-06,0,1,FALSE,TRUE
"east_of_england","mu_D",0.439903290484605,0,1,FALSE,TRUE
"london","mu_D",0.373723209800045,0,1,FALSE,TRUE
"midlands","mu_D",0.560871218097479,0,1,FALSE,TRUE
"north_east_and_yorkshire","mu_D",0.524659065842919,0,1,FALSE,TRUE
"north_west","mu_D",0.532169783642986,0,1,FALSE,TRUE
"south_east","mu_D",0.540944298703427,0,1,FALSE,TRUE
"south_west","mu_D",0.625039056989255,0,1,FALSE,TRUE
"east_of_england","mu_ICU",0.418680209907906,0,1,FALSE,TRUE
"london","mu_ICU",0.743216162067033,0,1,FALSE,TRUE
"midlands","mu_ICU",0.61574108091479,0,1,FALSE,TRUE
"north_east_and_yorkshire","mu_ICU",0.880800866894075,0,1,FALSE,TRUE
"north_west","mu_ICU",0.794449492261106,0,1,FALSE,TRUE
"south_east","mu_ICU",0.518892091087013,0,1,FALSE,TRUE
"south_west","mu_ICU",0.549101867339752,0,1,FALSE,TRUE
"east_of_england","p_G_D",0.029705354550985,0,1,FALSE,TRUE
"london","p_G_D",0.0243576861410077,0,1,FALSE,TRUE
"midlands","p_G_D",0.0265575937192322,0,1,FALSE,TRUE
"north_east_and_yorkshire","p_G_D",0.021290165515952,0,1,FALSE,TRUE
"north_west","p_G_D",0.0198267133183312,0,1,FALSE,TRUE
"south_east","p_G_D",0.0265979693794737,0,1,FALSE,TRUE
"south_west","p_G_D",0.0209256591891745,0,1,FALSE,TRUE
"east_of_england","p_G_D_CHR",0.423860298606196,0,1,FALSE,TRUE
"london","p_G_D_CHR",0.521048271632788,0,1,FALSE,TRUE
"midlands","p_G_D_CHR",0.471977720377034,0,1,FALSE,TRUE
"north_east_and_yorkshire","p_G_D_CHR",0.750828960718522,0,1,FALSE,TRUE
"north_west","p_G_D_CHR",0.356748637473498,0,1,FALSE,TRUE
"south_east","p_G_D_CHR",0.503498887819334,0,1,FALSE,TRUE
"south_west","p_G_D_CHR",0.932267449417602,0,1,FALSE,TRUE
"east_of_england","p_H",0.448676165659482,0,1,FALSE,TRUE
"london","p_H",0.474060705049816,0,1,FALSE,TRUE
"midlands","p_H",0.638904747061633,0,1,FALSE,TRUE
"north_east_and_yorkshire","p_H",0.724663314294749,0,1,FALSE,TRUE
"north_west","p_H",0.60516743559228,0,1,FALSE,TRUE
"south_east","p_H",0.557561636402532,0,1,FALSE,TRUE
"south_west","p_H",0.475631183603828,0,1,FALSE,TRUE
"east_of_england","p_H_CHR",0.74267771140074,0,1,FALSE,TRUE
"london","p_H_CHR",0.506666448426923,0,1,FALSE,TRUE
"midlands","p_H_CHR",0.599530878553837,0,1,FALSE,TRUE
"north_east_and_yorkshire","p_H_CHR",0.676103282083732,0,1,FALSE,TRUE
"north_west","p_H_CHR",0.827827768418602,0,1,FALSE,TRUE
"south_east","p_H_CHR",0.592169357487912,0,1,FALSE,TRUE
"south_west","p_H_CHR",0.917651293677622,0,1,FALSE,TRUE
"east_of_england","p_H_D",0.612416180144466,0,1,FALSE,TRUE
"london","p_H_D",0.372616340004386,0,1,FALSE,TRUE
"midlands","p_H_D",0.439800512180299,0,1,FALSE,TRUE
"north_east_and_yorkshire","p_H_D",0.486234762132095,0,1,FALSE,TRUE
"north_west","p_H_D",0.465690248531016,0,1,FALSE,TRUE
"south_east","p_H_D",0.425640732913982,0,1,FALSE,TRUE
"south_west","p_H_D",0.296280461564047,0,1,FALSE,TRUE
"east_of_england","p_ICU",0.269006664757603,0,1,FALSE,TRUE
"london","p_ICU",0.284274689173826,0,1,FALSE,TRUE
"midlands","p_ICU",0.205097139846061,0,1,FALSE,TRUE
"north_east_and_yorkshire","p_ICU",0.11474329923369,0,1,FALSE,TRUE
"north_west","p_ICU",0.150761977753355,0,1,FALSE,TRUE
"south_east","p_ICU",0.20026378064667,0,1,FALSE,TRUE
"south_west","p_ICU",0.152294328080405,0,1,FALSE,TRUE
"east_of_england","p_ICU_D",0.743138234936729,0,1,FALSE,TRUE
"london","p_ICU_D",0.639496582282128,0,1,FALSE,TRUE
"midlands","p_ICU_D",0.772108294456307,0,1,FALSE,TRUE
"north_east_and_yorkshire","p_ICU_D",0.750588587142271,0,1,FALSE,TRUE
"north_west","p_ICU_D",0.768041713839125,0,1,FALSE,TRUE
"south_east","p_ICU_D",0.69858002405612,0,1,FALSE,TRUE
"south_west","p_ICU_D",0.887004395460525,0,1,FALSE,TRUE
"east_of_england","p_NC",0.00438479065107323,0,1,FALSE,TRUE
"london","p_NC",0.00409361428602887,0,1,FALSE,TRUE
"midlands","p_NC",0.00393316724019452,0,1,FALSE,TRUE
"north_east_and_yorkshire","p_NC",0.00295858269246057,0,1,FALSE,TRUE
"north_west","p_NC",0.0036919441358599,0,1,FALSE,TRUE
"south_east","p_NC",0.00401727512369268,0,1,FALSE,TRUE
"south_west","p_NC",0.00524528255271709,0,1,FALSE,TRUE
"east_of_england","p_W_D",0.36794704925376,0,1,FALSE,TRUE
"london","p_W_D",0.509978120027214,0,1,FALSE,TRUE
"midlands","p_W_D",0.328773833605123,0,1,FALSE,TRUE
"north_east_and_yorkshire","p_W_D",0.383081557002618,0,1,FALSE,TRUE
"north_west","p_W_D",0.366452434038268,0,1,FALSE,TRUE
"south_east","p_W_D",0.449989095509161,0,1,FALSE,TRUE
"south_west","p_W_D",0.273085398869797,0,1,FALSE,TRUE
"east_of_england","rho_pillar2_tests",0.00365864751284702,0,1,FALSE,TRUE
"london","rho_pillar2_tests",0.0053387884183939,0,1,FALSE,TRUE
"midlands","rho_pillar2_tests",0.00634644650952446,0,1,FALSE,TRUE
"north_east_and_yorkshire","rho_pillar2_tests",0.00762805074705258,0,1,FALSE,TRUE
"north_west","rho_pillar2_tests",0.00909118216778802,0,1,FALSE,TRUE
"south_east","rho_pillar2_tests",0.00343626450671106,0,1,FALSE,TRUE
"south_west","rho_pillar2_tests",0.00310739246424362,0,1,FALSE,TRUE
"east_of_england","start_date",42,1,75,TRUE,TRUE
"london","start_date",26,1,75,TRUE,TRUE
"midlands","start_date",35,1,75,TRUE,TRUE
"north_east_and_yorkshire","start_date",38,1,75,TRUE,TRUE
"north_west","start_date",40,1,75,TRUE,TRUE
"south_east","start_date",28,1,75,TRUE,TRUE
"south_west","start_date",28,1,75,TRUE,TRUE
